"id","Completo","1","2","3","4","5","6","7","7 [Outro]","8 [Ensino fundamental] [Completo]","8 [Ensino fundamental] [Cursando]","8 [Ensino médio] [Completo]","8 [Ensino médio] [Cursando]","8 [Ensino técnico] [Completo]","8 [Ensino técnico] [Cursando]","8 [Ensino superior] [Completo]","8 [Ensino superior] [Cursando]","1","1 [Outro]","2 [Em casa]","2 [Na escola]","2 [Na lan-house]","2 [Em espaços públicos]","2 [Outros]","3","4 [Computador]","4 [Notebook / Laptop]","4 [Celular / Smartphone / Palmtop]","4 [Video-game]","4 [Outros]","5","6 [E-mail]","6 [Jogos]","6 [Blogs]","6 [Fóruns]","6 [Portais/Notícias]","6 [M.I.]","6 [Sites de relacionamento]","6 [Bate-papo]","6 [Vídeos]","6 [Outros]","7","8 [Orkut]","8 [MySpace]","8 [Facebook]","8 [Twitter]","8 [Não uso sites de relacionamento]","8 [Outro]","1 [Acho importante poder manter contato com os outros participantes da feira após o fim da Febrace]","1 [É possível que um grupo trabalhe num mesmo projeto sem estar na mesma cidade, pela Internet]","1 [A idéia de uma feira de ciências virtual na internet é interessante]","2","3","4","5","6"
"263","Y","Masculino","17","Feliz","Rio Grande do Sul","Liberato","Fundação","Finalista","","0","0","0","0","0","1","0","0","Outro","10","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","Todos os dias","Nunca","Nunca","","","Todos os dias","De vez em quando","De vez em quando","De vez em quando","Todos os dias","Todos os dias","Todos os dias","De vez em quando","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo","Discordo","Concordo totalmente","Sim","é um site bem dinâmico e de fácil navegação.","Sim","o sistema é ótimo para as pessoas que não são do estado.",""
"264","Y","Masculino","16","Fortaleza","Ceará","Christus","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","9","Todos os dias","De vez em quando","Nunca","Nunca","","","1 a 3 vezes por semana","1 a 3 vezes por semana","De vez em quando","De vez em quando","","","Todos os dias","De vez em quando","Todos os dias","De vez em quando","Todos os dias","Todos os dias","Todos os dias","De vez em quando","Todos os dias","","","Sim","Sim","Sim","Sim","Não","","Concordo","Neutro","Neutro","Sim","bom, mas com poucas informações de projetos passados","Sim","é completo e bem explicado",""
"265","Y","Masculino","15","Guarapari","Espírito Santo","Centro Educacional Guarapari","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","7","Todos os dias","De vez em quando","De vez em quando","Nunca","","","Todos os dias","Todos os dias","Nunca","Nunca","","","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","De vez em quando","Todos os dias","Todos os dias","Nunca","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Concordo","Sim","é um site onde se pode encontrar as informações necessárias para participação da feira","Sim","é muito válido, pois é mais prático e rápido",""
"266","Y","Masculino","32","Guarapari","Espírito Santo","Centro Educacional Guarapari","Particular","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","18","Todos os dias","Todos os dias","","","","","Todos os dias","Todos os dias","","","","","Todos os dias","De vez em quando","De vez em quando","Todos os dias","Todos os dias","1 a 3 vezes por semana","Nunca","Nunca","De vez em quando","Todos os dias","pesquisa","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Concordo","Não","","Não","","que seja divulgado nacionalmente"
"267","Y","Masculino","16","Guarapari","Espírito Santo","Centro Educacional Guarapari","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","5","Todos os dias","De vez em quando","De vez em quando","De vez em quando","","","Todos os dias","De vez em quando","Nunca","Nunca","","","De vez em quando","Nunca","Nunca","Nunca","De vez em quando","Todos os dias","Nunca","De vez em quando","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo","Concordo","Neutro","Sim","interessante, tem todas as informações que preciso, além de ser um ótimo passatempo por causa dos vídeos, etc...","Sim","fácil e rápido",""
"268","Y","Masculino","16","Guarapari","Espírito Santo","Centro Educacional Guarapari","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","5","Todos os dias","De vez em quando","De vez em quando","Nunca","","","Todos os dias","De vez em quando","Nunca","1 a 3 vezes por semana","","","Todos os dias","Todos os dias","Todos os dias","1 a 3 vezes por semana","1 a 3 vezes por semana","Todos os dias","Todos os dias","De vez em quando","1 a 3 vezes por semana","","","Sim","Sim","Não","Não","Não","","Concordo","Neutro","Concordo totalmente","Sim","é interessante e informativo","Sim","fácil e rápido",""
"269","Y","Feminino","35","Guarapari","Espírito Santo","Centro Educacional Guarapari","Particular","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","15","Todos os dias","","","","","","Todos os dias","","Todos os dias","","","","Todos os dias","","","Todos os dias","Todos os dias","Todos os dias","","","","","","Sim","Não","Não","Não","Não","","Concordo","Neutro","Concordo","Sim","uma feira onde há exposição de vários projetos em todo Brasil","Sim","","interessante a data de divulgação dos projetos finalistas saírem com maior antecedência para que os finalistas possam ter mais tempo para correr atrás de patrcínio/apoio."
"270","Y","Feminino","20","Novo Hamburgo","Rio Grande do Sul","Liberato","Fundação","Finalista","","0","0","0","0","0","1","0","0","Outro","12","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","","","Todos os dias","De vez em quando","Todos os dias","Nunca","","","Todos os dias","Nunca","Nunca","De vez em quando","Todos os dias","De vez em quando","1 a 3 vezes por semana","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Neutro","Sim","muito interessante","Não","",""
"271","Y","Feminino","19","Sapucaia do Sul","Rio Grande do Sul","Liberato","Fundação","Finalista","","0","0","0","0","0","1","0","0","","","Todos os dias","De vez em quando","Nunca","Nunca","","","De vez em quando","Todos os dias","Nunca","Nunca","","","Todos os dias","Nunca","Nunca","De vez em quando","De vez em quando","Todos os dias","Todos os dias","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Neutro","Sim","interessante","Não","",""
"272","Y","Masculino","19","Esteio","Rio Grande do Sul","Visconde de São Leopoldo","Pública","Finalista","","0","0","1","0","1","0","0","0","Outro","12","Todos os dias","1 a 3 vezes por semana","De vez em quando","Nunca","","","Todos os dias","Todos os dias","Nunca","Nunca","","","1 a 3 vezes por semana","Todos os dias","Nunca","Nunca","1 a 3 vezes por semana","Todos os dias","Nunca","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Concordo","Neutro","Sim","é um bom site, bem explicado, fácil manuseio e de rápido acesso.","N/A","",""
"273","Y","Masculino","18","Novo Hamburgo","Rio Grande do Sul","Visconde de São Leopoldo","Particular","Finalista","","0","0","0","1","0","1","0","0","Outro","15","Nunca","1 a 3 vezes por semana","De vez em quando","De vez em quando","","","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","","","","","","","","","","","","","","Não","Não","Não","Não","Não","","","","","N/A","","N/A","",""
"274","Y","Masculino","20","Novo Hamburgo","Rio Grande do Sul","Visconde de São Leopoldo","Pública","Finalista","","0","0","1","0","1","0","0","0","Outro","12","Todos os dias","De vez em quando","1 a 3 vezes por semana","Nunca","","","1 a 3 vezes por semana","Todos os dias","Nunca","Nunca","","","1 a 3 vezes por semana","Nunca","Nunca","Nunca","Nunca","1 a 3 vezes por semana","Nunca","Nunca","Nunca","","","Sim","Não","Não","Não","Não","","Concordo","Concordo","Concordo","Sim","é um site bem elaborado e com bons conteúdos","Não","",""
"275","Y","Masculino","54","São Leopoldo","Rio Grande do Sul","Visconde de São Leopoldo","Pública","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","38","Todos os dias","Todos os dias","De vez em quando","De vez em quando","","","Todos os dias","Todos os dias","De vez em quando","Nunca","","","Todos os dias","Nunca","De vez em quando","De vez em quando","Todos os dias","Nunca","Nunca","Nunca","De vez em quando","","","Não","Não","Não","Não","Sim","","Concordo","Concordo","Concordo","Sim","bom. bem abrangente no que diz respeito à feira.","Sim","bom, funciona",""
"276","Y","Feminino","16","São Paulo","São Paulo","Giordano Bruno","","Finalista","","0","0","0","1","0","0","0","0","Outro","10","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","De vez em quando","De vez em quando","De vez em quando","De vez em quando","Todos os dias","Todos os dias","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Concordo totalmente","Sim","muito interessante e importante para obter informações sobre a feira.","Sim","claro e necessário para se ter um primeiro contato com a pesquisa",""
"277","Y","Feminino","16","São Paulo","São Paulo","Giordano Bruno","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","10","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","Todos os dias","Nunca","Nunca","","","Todos os dias","De vez em quando","Nunca","Nunca","De vez em quando","Todos os dias","Todos os dias","Nunca","Todos os dias","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Concordo","Sim","é importante estar por dentro dos trabalhos a serem apresentados","Sim","é muito relevante",""
"278","Y","Feminino","15","São Paulo","São Paulo","Giordano Bruno","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","10","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","Todos os dias","Nunca","Nunca","","","Todos os dias","De vez em quando","Nunca","Nunca","De vez em quando","Todos os dias","Nunca","Nunca","Todos os dias","","","Não","Não","Não","Não","Não","","Concordo totalmente","Concordo","Concordo","Sim","pois é, importante conhecer as diversidades de trabalhos e sua importância para a sociedade","Sim","é muito relevante",""
"279","Y","Feminino","17","Cubatão","São Paulo","Universitas","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","6","Todos os dias","De vez em quando","Nunca","De vez em quando","","","1 a 3 vezes por semana","Todos os dias","De vez em quando","Nunca","","","Todos os dias","Nunca","Nunca","Nunca","De vez em quando","De vez em quando","Nunca","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Neutro","Neutro","Sim","é um site bom, que disponibiliza muitas informações sobre a feira, poupando, assim o trabalho de entrar em contato com os organizadores da feira","Não","",""
"280","Y","Feminino","16","Feliz","Rio Grande do Sul","Liberato","Fundação","Finalista","","0","0","0","1","0","1","0","0","Outro","10","Todos os dias","De vez em quando","De vez em quando","De vez em quando","","","Todos os dias","Todos os dias","Nunca","Nunca","","","Todos os dias","Todos os dias","Nunca","De vez em quando","Todos os dias","Todos os dias","Todos os dias","Todos os dias","Todos os dias","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Concordo","Sim","muito bom, nos traz muitas informações","Sim","muito interessante e organizado",""
"281","Y","Feminino","60","Novo Hamburgo","Rio Grande do Sul","Liberato","Fundação","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","3","1 a 3 vezes por semana","","","","","","1 a 3 vezes por semana","","","","","","1 a 3 vezes por semana","","","","1 a 3 vezes por semana","","","","","","","Não","Não","Não","Não","Sim","","Concordo totalmente","Concordo","Discordo","Sim","organizado e informativo","Não","",""
"282","Y","Feminino","16","Novo Hamburgo","Rio Grande do Sul","Liberato","Fundação","Finalista","","0","0","0","1","0","1","0","0","Outro","5","Todos os dias","De vez em quando","De vez em quando","Nunca","","","De vez em quando","Todos os dias","Nunca","Nunca","","","Todos os dias","De vez em quando","De vez em quando","Nunca","1 a 3 vezes por semana","Todos os dias","Nunca","Nunca","1 a 3 vezes por semana","Todos os dias","orkut","Sim","Sim","Não","Não","Não","","Concordo totalmente","Neutro","Neutro","Sim","muito bem organizado","Sim","muito bom","a internet é um ótimo meio de comunicação"
"283","Y","Feminino","16","Novo Hamburgo","Rio Grande do Sul","Liberato","Fundação","Finalista","","0","0","1","0","1","0","0","0","Outro","5","Todos os dias","De vez em quando","De vez em quando","Nunca","","","Todos os dias","De vez em quando","Nunca","Nunca","","","1 a 3 vezes por semana","De vez em quando","De vez em quando","Nunca","1 a 3 vezes por semana","Todos os dias","Nunca","Nunca","1 a 3 vezes por semana","Todos os dias","orkut","Sim","Não","Não","Não","Não","","Concordo totalmente","Discordo","Concordo","Sim","muito bom e bem explicativo","Sim","muito bom","a internet é um meio de comunicação"
"284","Y","Feminino","16","Estância Velha","Rio Grande do Sul","Liberato","Fundação","Finalista","","0","0","0","1","0","1","0","0","Outro","6","Todos os dias","De vez em quando","De vez em quando","Nunca","","","Todos os dias","Nunca","Nunca","Nunca","","","1 a 3 vezes por semana","Nunca","Nunca","Nunca","1 a 3 vezes por semana","1 a 3 vezes por semana","1 a 3 vezes por semana","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Discordo","Neutro","Sim","muito bem organizado","Sim","muito bom","a internet é um ótimo meio de comunicação"
"285","Y","Masculino","17","Laranjal do Jari","Amapá","Mineko Hayashida","","Finalista","","0","0","0","1","0","0","0","0","Outro","10","Todos os dias","1 a 3 vezes por semana","","","","","Todos os dias","","","","","","Todos os dias","1 a 3 vezes por semana","1 a 3 vezes por semana","Nunca","Todos os dias","Todos os dias","Nunca","Todos os dias","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Concordo totalmente","Sim","o site da febrace é excelente, completo","Não","",""
"286","Y","Feminino","17","Laranjal do Jari","Amapá","Mineko Hayashida","Pública","Finalista","","0","0","0","1","0","0","0","0","","","Todos os dias","Todos os dias","","","","","Todos os dias","","","","","","Todos os dias","Nunca","Nunca","Nunca","Todos os dias","Todos os dias","Todos os dias","Todos os dias","","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Concordo totalmente","Sim","","Sim","é completo e interessante, pois esclarece os procedimentos da feira",""
"287","Y","Masculino","62","Laranjal do Jari","Amapá","Mineko Hayashida","Pública","Orientador / Co-orientador","","0","0","0","0","1","0","0","0","Outro","40","Nunca","1 a 3 vezes por semana","De vez em quando","Nunca","","","1 a 3 vezes por semana","Nunca","Nunca","Nunca","","","Todos os dias","Nunca","Nunca","De vez em quando","De vez em quando","Nunca","Nunca","Nunca","De vez em quando","","","Não","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Discordo totalmente","Sim","site interessante, muito bom","Sim","muito bom",""
"288","Y","Feminino","31","Laranjal do Jari","Amapá","Mineko Hayashida","Pública","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","17","","Todos os dias","De vez em quando","De vez em quando","","","Todos os dias","Todos os dias","Todos os dias","","","","Todos os dias","","De vez em quando","De vez em quando","Todos os dias","De vez em quando","De vez em quando","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Concordo totalmente","Sim","excelente, rico em informações e interatividade","Sim","interessante, fácil de manusear e facilita nossa vida","gostaria que os trabalhos (experiências) fossem mais divulgadas e que não fossem vistos individualmente, mas que tivessem relações com todos os demais trabalhos"
"289","Y","Masculino","","Laranjal do Jari","Amapá","Mineko Hayashida","Pública","Finalista","","0","0","0","1","0","0","0","0","Outro","5","Nunca","1 a 3 vezes por semana","Todos os dias","Nunca","","","1 a 3 vezes por semana","Nunca","Nunca","Nunca","","","Nunca","1 a 3 vezes por semana","1 a 3 vezes por semana","Nunca","De vez em quando","1 a 3 vezes por semana","1 a 3 vezes por semana","De vez em quando","De vez em quando","1 a 3 vezes por semana","pesquisa","Sim","Não","Não","Não","Não","","Concordo","Concordo","Concordo totalmente","Não","","Não","",""
"290","Y","Masculino","19","Rio de Janeiro","Rio de Janeiro","CEFET","Pública","Finalista","","0","0","1","0","0","1","0","0","Outro","10","Todos os dias","Nunca","De vez em quando","Nunca","","","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","De vez em quando","De vez em quando","De vez em quando","Nunca","Todos os dias","Nunca","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Concordo","Sim","bem estruturado","Sim","fácil manuseio e entendimento",""
"291","Y","Feminino","18","Rio de Janeiro","Rio de Janeiro","CEFET","Pública","Finalista","","0","0","1","0","0","1","0","0","Outro","8","1 a 3 vezes por semana","","","","Todos os dias","Estágio","Todos os dias","","De vez em quando","","","","Todos os dias","Nunca","1 a 3 vezes por semana","De vez em quando","Todos os dias","1 a 3 vezes por semana","1 a 3 vezes por semana","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Concordo","Sim","é bom no quesito informação, mas deveria ter mais vídeos e/ou fotos de feiras anteriores.","Não","",""
"292","Y","Feminino","18","Rio de Janeiro","Rio de Janeiro","CEFET","Pública","Acompanhante","","0","0","1","0","0","1","0","0","Outro","14","1 a 3 vezes por semana","","","","","","Todos os dias","","","","","","Todos os dias","","","","","Todos os dias","Todos os dias","","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Concordo","Sim","facilmente acessível e com informações claras e objetivas","Não","",""
"293","Y","Masculino","","Rio de Janeiro","Rio de Janeiro","CEFET","Pública","Orientador / Co-orientador","","0","0","0","0","0","1","0","1","Outro","14","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","Nunca","Todos os dias","De vez em quando","","","Todos os dias","Todos os dias","Nunca","Nunca","Nunca","Todos os dias","Nunca","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Concordo totalmente","Sim","nada a declarar","Sim","eficiente",""
"294","Y","Feminino","15","São Paulo","São Paulo","Giordano Bruno","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","7","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","De vez em quando","De vez em quando","De vez em quando","1 a 3 vezes por semana","Todos os dias","1 a 3 vezes por semana","Nunca","Todos os dias","","","Não","Sim","Não","Não","Não","","Concordo","Discordo","Discordo","Sim","um pouco confuso quanto ao acesso da área","Sim","precisa ser atualizado com mais frequência",""
"295","Y","Feminino","15","São Paulo","São Paulo","Giordano Bruno","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","7","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","Nunca","Nunca","Nunca","","","Todos os dias","De vez em quando","Nunca","De vez em quando","De vez em quando","Todos os dias","","","De vez em quando","","","Não","Não","Não","Não","Sim","","Neutro","Concordo","Neutro","Sim","é bom","Sim","é bom",""
"296","Y","Feminino","15","São Paulo","São Paulo","Giordano Bruno","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","7","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","Nunca","Nunca","Nunca","","","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","Nunca","Todos os dias","1 a 3 vezes por semana","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Neutro","Neutro","Neutro","Sim","é um evento interessante","Sim","é confuso",""
"297","Y","Feminino","15","Camaragibe","Pernambuco","Ministro Jarbas Passarinho","Pública","Finalista","","0","0","0","1","0","0","0","0","Outro","9","","","1 a 3 vezes por semana","","","","1 a 3 vezes por semana","","","","","","1 a 3 vezes por semana","Nunca","Nunca","1 a 3 vezes por semana","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","Nunca","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Concordo totalmente","Sim","é um site informativo, que tira nossas dúvidas quando é necessário","Não","",""
"298","Y","Feminino","44","Camaragibe","Pernambuco","Ministro Jarbas Passarinho","Pública","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","37","Nunca","1 a 3 vezes por semana","Nunca","De vez em quando","","","1 a 3 vezes por semana","1 a 3 vezes por semana","Nunca","Nunca","","","1 a 3 vezes por semana","Nunca","De vez em quando","De vez em quando","De vez em quando","Nunca","Nunca","Nunca","De vez em quando","","","Não","Não","Não","Não","Sim","","Concordo totalmente","Concordo totalmente","Concordo totalmente","Sim","rico em informações e de excelência","Sim","excelente",""
"299","Y","Feminino","16","","Rio Grande do Sul","Liberato","Fundação","Finalista","","0","0","0","1","0","1","0","0","Outro","4","Todos os dias","","De vez em quando","Nunca","","","Todos os dias","1 a 3 vezes por semana","Nunca","Nunca","","","1 a 3 vezes por semana","De vez em quando","Todos os dias","1 a 3 vezes por semana","De vez em quando","Todos os dias","Todos os dias","De vez em quando","1 a 3 vezes por semana","","","Sim","Sim","Não","Não","Não","Hi5, Sonico","Concordo","Neutro","Concordo","Sim","informativo e organizado","Sim","tamanho de relatório máximo é muito pequeno","mantenho blogs desde 2004. O atual é http://garotamulticolor.blogspot.com"
"300","Y","Masculino","18","Imperatriz","Maranhão","Complexo Educacional Dom Bosco","Particular","Finalista","","0","0","1","0","0","0","0","0","Outro","7","Todos os dias","De vez em quando","De vez em quando","De vez em quando","","","Todos os dias","De vez em quando","Nunca","","","","Todos os dias","Nunca","1 a 3 vezes por semana","1 a 3 vezes por semana","Todos os dias","1 a 3 vezes por semana","Todos os dias","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Concordo totalmente","Sim","eu acho que ele devia ser mais claro, há seções que só consigo acessar utilizando o mapa do site.","Sim","é prático, pois podemos submeter nosso projeto pela internet",""
"301","Y","Feminino","17","Imperatriz","Maranhão","Graça Aranha","Pública","Finalista","","0","0","0","1","0","0","0","0","Outro","15","","","1 a 3 vezes por semana","","","","1 a 3 vezes por semana","","","","","","1 a 3 vezes por semana","","","","","1 a 3 vezes por semana","1 a 3 vezes por semana","","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo","Neutro","Concordo","N/A","","N/A","","sim, a internet traz benefíciops na maioria das vezes para as pessoas, é um meio rápido de comunicação e informação e etc."
"302","Y","Feminino","48","Imperatriz","Maranhão","Graça Aranha","Pública","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","44","Todos os dias","De vez em quando","De vez em quando","De vez em quando","De vez em quando","hóteis","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","Nunca","De vez em quando","1 a 3 vezes por semana","De vez em quando","De vez em quando","De vez em quando","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Concordo","Concordo","Sim","fácil acesso, atrativo e bastante informações sistematizadas","N/A","","cursos a distância / tutoria"
"303","Y","Feminino","17","Imperatriz","Maranhão","Graça Aranha","Pública","Finalista","","0","0","0","1","0","0","0","0","Outro","11","Todos os dias","De vez em quando","Nunca","","De vez em quando","casa de parentes","Todos os dias","De vez em quando","Nunca","Nunca","","","1 a 3 vezes por semana","Nunca","De vez em quando","Nunca","De vez em quando","Todos os dias","Todos os dias","De vez em quando","De vez em quando","Todos os dias","orkut","Sim","Não","Não","Não","Não","","Concordo","Neutro","Concordo","Sim","é bem interessante. é bem explicativo, mas o link é bem complicado.","Sim","bom, mas as vezes eu me enrolo um pouco.",""
"304","Y","Feminino","18","Imperatriz","Maranhão","Graça Aranha","Pública","Finalista","","0","0","1","0","0","0","0","0","Outro","12","1 a 3 vezes por semana","Nunca","De vez em quando","Nunca","","","1 a 3 vezes por semana","Nunca","Nunca","Nunca","","","1 a 3 vezes por semana","Nunca","Nunca","Nunca","De vez em quando","1 a 3 vezes por semana","1 a 3 vezes por semana","Nunca","1 a 3 vezes por semana","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Concordo","Sim","é um site bem organizado e de acesso fácil","Sim","é prático e bem organizado.",""
"305","Y","Masculino","19","Rio de Janeiro","Rio de Janeiro","CEFET","Pública","Finalista","","0","0","1","0","0","1","0","0","Outro","10","Todos os dias","De vez em quando","De vez em quando","Nunca","Todos os dias","Trabalho","Todos os dias","De vez em quando","Nunca","Nunca","","","Todos os dias","Nunca","De vez em quando","De vez em quando","1 a 3 vezes por semana","De vez em quando","1 a 3 vezes por semana","De vez em quando","De vez em quando","","","Sim","Não","Sim","Sim","Não","Paltalk","Concordo totalmente","Concordo","Discordo","Sim","é um site bem organizado e com um conteúdo interssante a ser acessado","Não","","a internet é um meio infinito de informações e deve começar a ser utilizada para o desenvolvimento da educação mundial."
"306","Y","Masculino","18","Palmas","Tocantins","Escola Técnica Federal de Palmas","Pública","Finalista","","0","0","0","1","0","1","0","0","Outro","12","Todos os dias","De vez em quando","Nunca","De vez em quando","","","Todos os dias","De vez em quando","Nunca","Nunca","","","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","De vez em quando","Todos os dias","De vez em quando","De vez em quando","1 a 3 vezes por semana","","","Sim","Sim","Não","Não","Não","Sonico","Concordo totalmente","Concordo totalmente","Discordo totalmente","Sim","mais ou menos, poderia ser mais dinâmico.","Não","",""
"307","Y","Feminino","19","Imperatriz","Maranhão","Universidade Federal do Maranhão","Pública","Orientador / Co-orientador","","0","0","0","0","0","0","0","1","Outro","12","Todos os dias","Todos os dias","Nunca","De vez em quando","","","1 a 3 vezes por semana","Todos os dias","De vez em quando","Nunca","","","Todos os dias","Nunca","Nunca","De vez em quando","Todos os dias","1 a 3 vezes por semana","1 a 3 vezes por semana","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Concordo","Sim","é um site bem elaborado e suas informações são claras e objetivas","Não","","me interesso pelas novidades e avanços da engenharia e tecnologia de alimentos."
"308","Y","Feminino","14","Imperatriz","Maranhão","Rui Barbosa","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","8","1 a 3 vezes por semana","De vez em quando","De vez em quando","De vez em quando","","","1 a 3 vezes por semana","1 a 3 vezes por semana","Nunca","Nunca","","","Todos os dias","Nunca","Nunca","De vez em quando","De vez em quando","1 a 3 vezes por semana","Nunca","Nunca","1 a 3 vezes por semana","","","Não","Não","Não","Não","Sim","","Concordo","Concordo","Concordo","Sim","gosto muito, pois é um site que traz todas as informações necessárias sobre a feira.","Não","",""
"309","Y","Masculino","31","Imperatriz","Maranhão","Rui Barbosa","Particular","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","18","Todos os dias","Todos os dias","De vez em quando","","","","Todos os dias","De vez em quando","Todos os dias","","","","1 a 3 vezes por semana","Nunca","Nunca","De vez em quando","Todos os dias","De vez em quando","De vez em quando","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Neutro","Sim","muito informativo e preciso.","Sim","quando isso ocorre facilita a vida de todos",""
"310","Y","Feminino","18","São Paulo","São Paulo","I. L. Peretz","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","10","Todos os dias","De vez em quando","Nunca","Nunca","","","De vez em quando","Todos os dias","Nunca","Nunca","","","Todos os dias","Nunca","Nunca","Nunca","Todos os dias","1 a 3 vezes por semana","Nunca","Nunca","1 a 3 vezes por semana","","","Não","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Concordo totalmente","Sim","é ótimo","Sim","muito bom",""
"311","Y","Masculino","16","São Paulo","São Paulo","I. L. Peretz","Particular","Finalista","","0","0","0","1","0","0","0","0","Outro","5","Todos os dias","Todos os dias","Nunca","Nunca","","","Todos os dias","De vez em quando","Todos os dias","Nunca","","","Todos os dias","Todos os dias","De vez em quando","Nunca","Todos os dias","Todos os dias","Todos os dias","Nunca","Todos os dias","","","Sim","Não","Sim","Não","Não","","Neutro","Discordo","Neutro","Sim","acho ele adequado","Sim","muito bom",""
"312","Y","Feminino","17","Limeira","São Paulo","ETEC Trajano Camargo","Pública","Finalista","","0","0","0","1","0","1","0","0","Outro","14","1 a 3 vezes por semana","De vez em quando","De vez em quando","De vez em quando","","","1 a 3 vezes por semana","Nunca","Nunca","Nunca","","","1 a 3 vezes por semana","Nunca","Nunca","Nunca","De vez em quando","1 a 3 vezes por semana","1 a 3 vezes por semana","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Concordo","Sim","um site bom, mas que saía do ar algumas vezes acessado.","Não","",""
